WKT,nama,deskripsi
"POLYGON ((106.8233697 -6.1714369, 106.822962 -6.1798848, 106.8236057 -6.1805034, 106.8311373 -6.1801621, 106.83103 -6.1793728, 106.8306009 -6.1787115, 106.8311373 -6.1790315, 106.8313519 -6.1787328, 106.8318025 -6.1785621, 106.8311588 -6.1761728, 106.8306223 -6.1743169, 106.830043 -6.1738902, 106.8299142 -6.1735275, 106.8291847 -6.1729942, 106.8292276 -6.1724182, 106.8293778 -6.1718422, 106.8290345 -6.1714582, 106.8233697 -6.1714369))",Taman Monas,
"POLYGON ((106.7982665 -6.2146453, 106.7983309 -6.2205968, 106.8030301 -6.2226019, 106.8047038 -6.2247777, 106.8088666 -6.2219407, 106.808416 -6.2212154, 106.8083945 -6.2158186, 106.8062487 -6.2156692, 106.8062917 -6.2142827, 106.8062487 -6.2133441, 106.8062058 -6.2127041, 106.7982665 -6.2146453))",GBK,
"POLYGON ((106.8162155 -6.3050072, 106.8160438 -6.3055617, 106.8167949 -6.3068627, 106.8165803 -6.3079717, 106.8160009 -6.3079504, 106.8156576 -6.3095713, 106.815958 -6.3106377, 106.8171382 -6.3105737, 106.8171167 -6.3113842, 106.8176746 -6.3114908, 106.8176102 -6.3142421, 106.8162584 -6.3142207, 106.8162155 -6.3159269, 106.8165159 -6.3161189, 106.8162584 -6.3168227, 106.8178892 -6.3173772, 106.818254 -6.3172066, 106.8222236 -6.3175691, 106.8227815 -6.3173559, 106.8236828 -6.3173772, 106.8238115 -6.3177611, 106.8247556 -6.3178037, 106.8252277 -6.3144767, 106.8247127 -6.3139008, 106.8246913 -6.3133037, 106.8254638 -6.3135169, 106.8256354 -6.3129411, 106.8252063 -6.3128344, 106.8246913 -6.3126852, 106.8247556 -6.3120453, 106.8257212 -6.3121733, 106.82585 -6.3113202, 106.8266225 -6.3115761, 106.8270731 -6.3086969, 106.8246054 -6.3085049, 106.8246913 -6.3063295, 106.8231034 -6.3063295, 106.8226528 -6.3066921, 106.8207216 -6.3064361, 106.8206358 -6.305711, 106.8193483 -6.3056257, 106.8190264 -6.3053058, 106.8162155 -6.3050072))",Ragunan,
"POLYGON ((106.8843955 -6.3024387, 106.8847281 -6.3028706, 106.8858868 -6.303793, 106.8872655 -6.3046621, 106.887464 -6.3045075, 106.8874962 -6.3029186, 106.887362 -6.3022734, 106.8844545 -6.3022841, 106.8843955 -6.3024387))",TMII,
"POLYGON ((106.8509222 -6.2327681, 106.8505575 -6.2337493, 106.8508579 -6.2344959, 106.8526603 -6.2357971, 106.8526389 -6.236565, 106.8515874 -6.2398499, 106.8525316 -6.2421536, 106.8540121 -6.2421109, 106.8529178 -6.2405112, 106.8531753 -6.2387834, 106.8535401 -6.2376742, 106.8536259 -6.2361384, 106.8533255 -6.2347092, 106.8528963 -6.2348372, 106.8525745 -6.2333227, 106.8521239 -6.2333441, 106.8518664 -6.2334934, 106.8513514 -6.2335147, 106.8513729 -6.2330454, 106.8509222 -6.2327681))",Tebet,
