WKT,nama,deskripsi
"POINT (106.8060767 -6.2474095)",Jakarta Selatan,
"POINT (106.7637239 -6.167430899999999)",Jakarta Barat,
"POINT (106.8280366 -6.1805357)",Jakarta Pusat,
"POINT (106.9434084 -6.2126204)",Jakarta Timur,
"POINT (106.5996686 -5.7392014)",Kabupaten Administrasi Kepulauan Seribu,
